error,numSignals,selectSignal,samples,doas,freqOrig,freqMVDR,freqOrigMag,freqMVDRMag
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 307199.99999999994, 1078271.9999999998]","[53.76740386581924, 23.290935487650298, 12.070108116751564]","[5.905802326991746, 0.497735569846327, 8.457650671205377]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[53.976824492837125, 26.274188826914084, 22.76480118124376]","[5.927078375093009, 18.173717064848077, 0.5134634280081651]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[54.30383021502271, 24.75827075020416, 23.19501807026396]","[5.837903442427897, 17.253790415242257, 0.4981311650439628]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.448781071012505, 26.326609439828278, 23.891728794339276]","[5.795621595751973, 18.651597995892125, 0.5059222294840494]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 307199.99999999994, 1078271.9999999998]","[54.83059711717201, 24.512130673231763, 12.113857179586445]","[6.160041724330439, 0.5849825460642807, 8.341409048119578]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[54.82105650833324, 27.083992198023154, 23.966919082166854]","[5.912867587232524, 18.673081102213946, 0.6027037361048011]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[54.64477254032917, 23.910129567639103, 18.535212541633353]","[5.726121240230946, 0.5142818313787074, 12.968226743744452]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[54.9149714522494, 24.097887077366483, 16.410364448326114]","[5.958903019164326, 0.5972905034744825, 11.284181807235624]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.968241847543744, 26.925350403033423, 24.075106420307264]","[5.814855812701272, 18.640255095378738, 0.6108077550761134]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[54.688880875321985, 24.249197013848537, 19.33215025666921]","[5.9079307900107665, 0.553741117902038, 13.541497324627144]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[54.95317360332784, 24.164685830927702, 23.951085625788597]","[6.20564992373716, 0.5757544416504109, 16.300269214998327]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[54.96643591128448, 27.196440655137526, 24.442189978304]","[6.051686639291732, 18.68946237198369, 0.5569726459150088]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[55.128717796748624, 24.792046137037097, 23.357738653404493]","[6.23033315959243, 0.5715681111273857, 15.829951633754426]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[55.56590765508641, 25.14984090582793, 17.111018165573928]","[5.822467509384905, 0.6413352752206379, 11.826157122117875]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 304127.99999999994, 577535.9999999999]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[55.473073272053284, 25.926731820746593, 25.19019462065027]","[5.854287061289838, 18.021245498128902, 0.6340200753070118]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[55.29519788669662, 24.249412903546105, 16.03093239529434]","[5.824972087965088, 0.6181839832614701, 11.121402783799388]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 307199.99999999994, 577535.9999999999]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[54.89194774405618, 26.553522515736976, 24.184757188649133]","[5.949465754347534, 18.421054113260265, 0.588639708865614]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[54.39475417515722, 24.11605337954171, 20.32927816985179]","[6.019817785901315, 0.5231863428086798, 14.010788846733277]"
